Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage,Einwohner,7-Tages-Inzidenz,Landkreis,7-Tages_neu
Brand-Erbisdorf,14,19,9.337,2035,Mittelsachsen,203.5
Waldheim,15,18,8.951,2011,Mittelsachsen,201.1
Oederan,16,15,7.934,1891,Mittelsachsen,189.1
Niederwiesa,17,9,4.862,1851,Mittelsachsen,185.1
Rossau,18,5,3.502,1428,Mittelsachsen,142.8
Reinsberg,19,4,2.834,1411,Mittelsachsen,141.1
Döbeln,20,28,23.583,1187,Mittelsachsen,118.7
Königshain-Wiederau,21,3,2.613,1148,Mittelsachsen,114.8
Lichtenberg/Erzgeb.,22,3,2.692,1114,Mittelsachsen,111.4
Rechenberg-Bienenmühle,23,2,1.835,1090,Mittelsachsen,109
Striegistal,24,5,4.601,1087,Mittelsachsen,108.7
Hartha,25,7,6.949,1007,Mittelsachsen,100.7
Leisnig,26,8,8.243,971,Mittelsachsen,97.1
Oberschöna,27,3,3.265,919,Mittelsachsen,91.9
Leubsdorf,28,3,3.298,910,Mittelsachsen,91
Mittweida,29,13,14.475,898,Mittelsachsen,89.8
Ostrau,30,3,3.547,846,Mittelsachsen,84.6
Taura,31,2,2.37,844,Mittelsachsen,84.4
Hainichen,32,7,8.558,818,Mittelsachsen,81.8
Mulda/Sa.,33,2,2.464,812,Mittelsachsen,81.2
Großhartmannsdorf,34,2,2.474,808,Mittelsachsen,80.8
Zschaitz-Ottewig,35,1,1.298,770,Mittelsachsen,77
Freiberg,36,28,40.657,689,Mittelsachsen,68.9
Hartmannsdorf,37,3,4.493,668,Mittelsachsen,66.8
Roßwein,38,5,7.502,666,Mittelsachsen,66.6
Burgstädt,39,7,10.643,658,Mittelsachsen,65.8
Erlau,40,2,3.178,629,Mittelsachsen,62.9
Seelitz,41,1,1.663,601,Mittelsachsen,60.1
Bobritzsch-Hilbersdorf,42,3,5.714,525,Mittelsachsen,52.5
Kriebstein,43,1,2.083,480,Mittelsachsen,48
Geringswalde,44,2,4.183,478,Mittelsachsen,47.8
Lichtenau,45,3,7.076,424,Mittelsachsen,42.4
Halsbrücke,46,2,5.057,395,Mittelsachsen,39.5
Rochlitz,47,2,5.71,350,Mittelsachsen,35
Claußnitz,48,1,3.027,330,Mittelsachsen,33
Großschirma,49,1,5.596,179,Mittelsachsen,17.9
Eppendorf,50,0,4.075,0,Mittelsachsen,0
Königsfeld,50,0,1.391,0,Mittelsachsen,0
Mühlau,50,0,2.117,0,Mittelsachsen,0
Weißenborn/Erzgeb.,50,0,2.468,0,Mittelsachsen,0
Löbnitz,1,12,2.086,5753,Nordsachsen,575.3
Zschepplin,2,14,2.849,4914,Nordsachsen,491.4
Eilenburg,3,71,15.557,4564,Nordsachsen,456.4
Mockrehna,4,21,5.041,4166,Nordsachsen,416.6
Jesewitz,5,12,3.09,3883,Nordsachsen,388.3
Laußig,6,12,3.644,3293,Nordsachsen,329.3
Arzberg,7,6,1.879,3193,Nordsachsen,319.3
Taucha,8,49,15.745,3112,Nordsachsen,311.2
Schönwölkau,9,7,2.551,2744,Nordsachsen,274.4
Krostitz,10,11,4.033,2727,Nordsachsen,272.7
Doberschütz,11,10,4.094,2443,Nordsachsen,244.3
Rackwitz,12,10,5.135,1947,Nordsachsen,194.7
Beilrode,13,8,4.154,1926,Nordsachsen,192.6
Torgau,14,32,19.883,1609,Nordsachsen,160.9
Cavertitz,15,3,2.214,1355,Nordsachsen,135.5
Wiedemar,16,7,5.267,1329,Nordsachsen,132.9
Bad Düben,17,10,7.83,1277,Nordsachsen,127.7
Dommitzsch,18,3,2.458,1221,Nordsachsen,122.1
Dahlen,19,5,4.245,1178,Nordsachsen,117.8
Delitzsch,20,25,24.823,1007,Nordsachsen,100.7
Belgern-Schildau,21,7,7.719,907,Nordsachsen,90.7
Mügeln,22,5,5.872,851,Nordsachsen,85.1
Trossin,23,1,1.243,805,Nordsachsen,80.5
Wermsdorf,24,3,5.201,577,Nordsachsen,57.7
Oschatz,25,8,14.098,567,Nordsachsen,56.7
Schkeuditz,26,10,18.312,546,Nordsachsen,54.6
Naundorf,27,1,2.247,445,Nordsachsen,44.5
Liebschützberg,28,1,2.975,336,Nordsachsen,33.6
Dreiheide,29,0,2.102,0,Nordsachsen,0
Elsnig,29,0,1.394,0,Nordsachsen,0
Reinhardtsdorf-Schöna,1,8,1.325,6038,Sächsische Schweiz-Osterzgebirge,603.8
Bad Schandau,2,21,3.604,5827,Sächsische Schweiz-Osterzgebirge,582.7
Rathmannsdorf,3,5,912,5482,Sächsische Schweiz-Osterzgebirge,548.2
Dohma,4,6,1.954,3071,Sächsische Schweiz-Osterzgebirge,307.1
Hohnstein,5,9,3.282,2742,Sächsische Schweiz-Osterzgebirge,274.2
Bahretal,6,5,2.159,2316,Sächsische Schweiz-Osterzgebirge,231.6
Königstein/Sächs. Schw.,7,4,2.087,1917,Sächsische Schweiz-Osterzgebirge,191.7
Sebnitz,8,17,9.461,1797,Sächsische Schweiz-Osterzgebirge,179.7
Dohna,9,11,6.183,1779,Sächsische Schweiz-Osterzgebirge,177.9
Rabenau,10,7,4.42,1584,Sächsische Schweiz-Osterzgebirge,158.4
Klingenberg,11,10,6.781,1475,Sächsische Schweiz-Osterzgebirge,147.5
Tharandt,12,8,5.439,1471,Sächsische Schweiz-Osterzgebirge,147.1
Neustadt in Sachsen,13,17,12.097,1405,Sächsische Schweiz-Osterzgebirge,140.5
Hermsdorf/Erzgeb.,14,1,768,1302,Sächsische Schweiz-Osterzgebirge,130.2
Altenberg,15,9,7.934,1134,Sächsische Schweiz-Osterzgebirge,113.4
Bad Gottleuba-Berggießhübel,16,6,5.624,1067,Sächsische Schweiz-Osterzgebirge,106.7
Hartmannsdorf-Reichenau,17,1,1.017,983,Sächsische Schweiz-Osterzgebirge,98.3
Dorfhain,18,1,1.096,912,Sächsische Schweiz-Osterzgebirge,91.2
Freital,19,36,39.703,907,Sächsische Schweiz-Osterzgebirge,90.7
Pirna,20,30,38.422,781,Sächsische Schweiz-Osterzgebirge,78.1
Heidenau,21,12,16.54,726,Sächsische Schweiz-Osterzgebirge,72.6
Lohmen,22,2,3.084,649,Sächsische Schweiz-Osterzgebirge,64.9
Rosenthal-Bielatal,23,1,1.586,631,Sächsische Schweiz-Osterzgebirge,63.1
Gohrisch,24,1,1.806,554,Sächsische Schweiz-Osterzgebirge,55.4
Bannewitz,25,6,11.104,540,Sächsische Schweiz-Osterzgebirge,54
Stolpen,26,3,5.579,538,Sächsische Schweiz-Osterzgebirge,53.8
Dippoldiswalde,27,7,14.31,489,Sächsische Schweiz-Osterzgebirge,48.9
Glashütte,28,3,6.689,448,Sächsische Schweiz-Osterzgebirge,44.8
Kreischa,29,2,4.532,441,Sächsische Schweiz-Osterzgebirge,44.1
Wilsdruff,30,6,14.237,421,Sächsische Schweiz-Osterzgebirge,42.1
Dürrröhrsdorf-Dittersbach,31,1,4.239,236,Sächsische Schweiz-Osterzgebirge,23.6
Liebstadt,32,0,1.27,0,Sächsische Schweiz-Osterzgebirge,0
Müglitztal,32,0,1.91,0,Sächsische Schweiz-Osterzgebirge,0
Rathen,32,0,349,0,Sächsische Schweiz-Osterzgebirge,0
Stadt Wehlen,32,0,1.571,0,Sächsische Schweiz-Osterzgebirge,0
Struppen,32,0,2.512,0,Sächsische Schweiz-Osterzgebirge,0
Elsterberg,1,35,3.925,8917,Vogtlandkreis,891.7
Pöhl,2,19,2.482,7655,Vogtlandkreis,765.5
Mühlental,3,9,1.276,7053,Vogtlandkreis,705.3
Neuensalz,4,13,2.106,6173,Vogtlandkreis,617.3
Lengenfeld,5,41,7.124,5755,Vogtlandkreis,575.5
Oelsnitz/Vogtl.,6,58,10.143,5718,Vogtlandkreis,571.8
Bergen,7,5,958,5219,Vogtlandkreis,521.9
Klingenthal,8,42,8.184,5132,Vogtlandkreis,513.2
Steinberg,9,14,2.743,5104,Vogtlandkreis,510.4
Heinsdorfergrund,10,10,1.968,5081,Vogtlandkreis,508.1
Falkenstein/Vogtl.,11,40,7.947,5033,Vogtlandkreis,503.3
Bösenbrunn,12,5,1.142,4378,Vogtlandkreis,437.8
Muldenhammer,13,13,3.025,4298,Vogtlandkreis,429.8
Neustadt/Vogtl.,14,4,959,4171,Vogtlandkreis,417.1
Treuen,15,32,7.784,4111,Vogtlandkreis,411.1
Weischlitz,16,23,5.806,3961,Vogtlandkreis,396.1
Rodewisch,17,25,6.373,3923,Vogtlandkreis,392.3
Adorf/Vogtl.,18,19,4.844,3922,Vogtlandkreis,392.2
Pausa-Mühltroff,19,19,4.919,3863,Vogtlandkreis,386.3
Grünbach,20,6,1.643,3652,Vogtlandkreis,365.2
Auerbach/Vogtl.,21,65,18.237,3564,Vogtlandkreis,356.4
Reichenbach im Vogtland,22,72,20.487,3514,Vogtlandkreis,351.4
Limbach,23,5,1.427,3504,Vogtlandkreis,350.4
Neumark,24,10,2.964,3374,Vogtlandkreis,337.4
Markneukirchen,25,25,7.47,3347,Vogtlandkreis,334.7
Schöneck/Vogtl.,26,10,3.142,3183,Vogtlandkreis,318.3
Netzschkau,27,12,3.854,3114,Vogtlandkreis,311.4
Plauen,28,198,64.597,3065,Vogtlandkreis,306.5
Tirpersdorf,29,4,1.356,2950,Vogtlandkreis,295
Theuma,30,3,1.019,2944,Vogtlandkreis,294.4
Bad Brambach,31,5,1.833,2728,Vogtlandkreis,272.8
Werda,32,4,1.492,2681,Vogtlandkreis,268.1
Bad Elster,33,7,3.675,1905,Vogtlandkreis,190.5
Eichigt,34,1,1.192,839,Vogtlandkreis,83.9
Triebel/Vogtl.,35,1,1.222,818,Vogtlandkreis,81.8
Ellefeld,36,2,2.546,786,Vogtlandkreis,78.6
Rosenbach/Vogtl.,37,2,4.133,484,Vogtlandkreis,48.4
Hirschfeld,1,10,1.162,8606,Zwickau,860.6
Crinitzberg,2,15,1.874,8004,Zwickau,800.4
Kirchberg,3,44,8.179,5380,Zwickau,538
Langenbernsdorf,4,16,3.597,4448,Zwickau,444.8
Hartmannsdorf b. Kirchberg,5,6,1.373,4370,Zwickau,437
St. Egidien,6,13,3.268,3978,Zwickau,397.8
Mülsen,7,43,11.057,3889,Zwickau,388.9
Glauchau,8,77,22.233,3463,Zwickau,346.3
Waldenburg,9,12,4.058,2957,Zwickau,295.7
Oberwiera,10,3,1.02,2941,Zwickau,294.1
Lichtentanne,11,15,6.329,2370,Zwickau,237
Wildenfels,12,7,3.552,1971,Zwickau,197.1
Wilkau-Haßlau,13,18,9.656,1864,Zwickau,186.4
Werdau,14,38,20.623,1843,Zwickau,184.3
Hohenstein-Ernstthal,15,25,14.527,1721,Zwickau,172.1
Lichtenstein/Sa.,16,19,11.177,1700,Zwickau,170
Bernsdorf,17,3,2.208,1359,Zwickau,135.9
Hartenstein,18,6,4.54,1322,Zwickau,132.2
Gersdorf,19,5,3.938,1270,Zwickau,127
Limbach-Oberfrohna,20,29,23.895,1214,Zwickau,121.4
Fraureuth,21,6,5.105,1175,Zwickau,117.5
Zwickau,22,103,88.69,1161,Zwickau,116.1
Crimmitschau,23,20,18.35,1090,Zwickau,109
Neukirchen/Pleiße,24,4,3.872,1033,Zwickau,103.3
Oberlungwitz,25,6,5.864,1023,Zwickau,102.3
Reinsdorf,26,7,7.398,946,Zwickau,94.6
Meerane,27,12,14.001,857,Zwickau,85.7
Callenberg,28,4,4.928,812,Zwickau,81.2
Langenweißbach,29,2,2.473,809,Zwickau,80.9
Remse,30,1,1.625,615,Zwickau,61.5
Dennheritz,31,0,1.295,0,Zwickau,0
Niederfrohna,31,0,2.236,0,Zwickau,0
Schönberg,31,0,899,0,Zwickau,0
Nünchritz,25,1,7.725,129,Meißen,12.9
Röderaue,23,1,4.341,230,Meißen,23
Schönfeld,15,3,4.417,679,Meißen,67.9
Dresden,0,397,556780,0,Landeshauptstadt Dresden,80
Leipzig,0,340,593145,0,Stadt Leipzig,56
Chemnitz,0,282,246334,0,Stadt Chemnitz,102
